"cod_municipio","municipio","estado","valor"
2203107,Cristino Castro,PI,300
2203206,Curimatá,PI,1366
2203230,Currais,PI,24061
2203255,Curralinhos,PI,234
2203271,Curral Novo do Piauí,PI,1765
2203305,Demerval Lobão,PI,270
2203354,Dirceu Arcoverde,PI,350
2203404,Dom Expedito Lopes,PI,270
2203420,Domingos Mourão,PI,760
2203453,Dom Inocêncio,PI,1650
2203503,Elesbão Veloso,PI,2850
2203602,Eliseu Martins,PI,1500
2203701,Esperantina,PI,1688
2203750,Fartura do Piauí,PI,615
2203800,Flores do Piauí,PI,810
2203859,Floresta do Piauí,PI,460
2203909,Floriano,PI,1060
2204006,Francinópolis,PI,428
2204105,Francisco Ayres,PI,1400
2204154,Francisco Macedo,PI,630
2204204,Francisco Santos,PI,215
2204303,Fronteiras,PI,3500
2204352,Geminiano,PI,2400
2204402,Gilbués,PI,7896
2204501,Guadalupe,PI,728
2204550,Guaribas,PI,1000
2204600,Hugo Napoleão,PI,550
2204659,Ilha Grande,PI,15
2204709,Inhuma,PI,1570
2204808,Ipiranga do Piauí,PI,320
2204907,Isaías Coelho,PI,1700
2205003,Itainópolis,PI,2500
2205102,Itaueira,PI,8400
2205151,Jacobina do Piauí,PI,924
2205201,Jaicós,PI,576
2205250,Jardim do Mulato,PI,360
2205276,Jatobá do Piauí,PI,800
2205300,Jerumenha,PI,120
2205359,João Costa,PI,160
2205409,Joaquim Pires,PI,892
2205458,Joca Marques,PI,220
2205508,José de Freitas,PI,1106
2205516,Juazeiro do Piauí,PI,753
2205524,Júlio Borges,PI,605
2205532,Jurema,PI,1734
2205540,Lagoinha do Piauí,PI,200
2205557,Lagoa Alegre,PI,285
2205565,Lagoa do Barro do Piauí,PI,489
2205573,Lagoa de São Francisco,PI,580
2205581,Lagoa do Piauí,PI,290
2205599,Lagoa do Sítio,PI,2455
2205607,Landri Sales,PI,7217
2205706,Luís Correia,PI,3711
2205805,Luzilândia,PI,1300
2205854,Madeiro,PI,329
2205904,Manoel Emídio,PI,377
2205953,Marcolândia,PI,790
2206001,Marcos Parente,PI,145
2206050,Massapê do Piauí,PI,745
2206100,Matias Olímpio,PI,368
2206209,Miguel Alves,PI,2375
2206308,Miguel Leão,PI,130
2206357,Milton Brandão,PI,930
2206407,Monsenhor Gil,PI,471
